PM25,O3,WS,TEMP,RH,WD
14.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
16.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
9.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
15.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
13.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
25.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
14.3,7.0,1,31.0,56.0,182.0
13.6,32.0,1,32.0,55.0,176.0
10.2,16.0,1,32.0,52.0,161.0
17.7,4.0,1,32.0,54.0,172.0
16.5,6.0,1,30.0,60.0,209.0
15.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
19.2,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
20.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.3,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
18.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.8,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
11.6,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
12.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
26.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
29.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
28.0,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
31.5,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
34.4,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
22.9,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
21.7,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
17.1,13.208916033332045,0,26.947916666666668,65.44856770833333,129.73177083333334
